step,power_db,theta_deg,phi_deg
0.000000000000000000e+00,-9.535261725139437772e+01,9.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,-9.535261725139437772e+01,9.000119018554687500e+01,-5.413478938862681389e-04
2.000000000000000000e+00,-9.535239814190387619e+01,9.000244140625000000e+01,-1.105347531847655773e-03
3.000000000000000000e+00,-9.535216829552649642e+01,9.000379180908203125e+01,-1.714061945676803589e-03
4.000000000000000000e+00,-9.535192151358801027e+01,9.000523376464843750e+01,-2.369799651205539703e-03
5.000000000000000000e+00,-9.535165614564334646e+01,9.000679016113281250e+01,-3.071510000154376030e-03
6.000000000000000000e+00,-9.535137178179412842e+01,9.000843811035156250e+01,-3.817425575107336044e-03
7.000000000000000000e+00,-9.535106883904975916e+01,9.001017761230468750e+01,-4.605708178132772446e-03
8.000000000000000000e+00,-9.535074814779250119e+01,9.001200866699218750e+01,-5.434625782072544098e-03
9.000000000000000000e+00,-9.535041301767242317e+01,9.001393127441406250e+01,-6.302594672888517380e-03
1.000000000000000000e+01,-9.535006055976397477e+01,9.001593017578125000e+01,-7.208182942122220993e-03
1.100000000000000000e+01,-9.534969408345759234e+01,9.001801300048828125e+01,-8.150096051394939423e-03
1.200000000000000000e+01,-9.534931152675376609e+01,9.002017211914062500e+01,-9.127162396907806396e-03
1.300000000000000000e+01,-9.534891661155458564e+01,9.002241516113281250e+01,-1.013831701129674911e-02
1.400000000000000000e+01,-9.534850644999934843e+01,9.002471923828125000e+01,-1.118258852511644363e-02
1.500000000000000000e+01,-9.534808311137611270e+01,9.002710723876953125e+01,-1.225908566266298294e-02
1.600000000000000000e+01,-9.534764659954176125e+01,9.002955627441406250e+01,-1.336699072271585464e-02
1.700000000000000000e+01,-9.534719733138111053e+01,9.003208160400390625e+01,-1.450554467737674713e-02
1.800000000000000000e+01,-9.534673654945244436e+01,9.003466033935546875e+01,-1.567404903471469879e-02
1.900000000000000000e+01,-9.534626301896463474e+01,9.003730773925781250e+01,-1.687185093760490417e-02
2.000000000000000000e+01,-9.534577798241454616e+01,9.004002380371093750e+01,-1.809833943843841553e-02
2.100000000000000000e+01,-9.534528144366271363e+01,9.004279327392578125e+01,-1.935294643044471741e-02
2.200000000000000000e+01,-9.534477340666018108e+01,9.004563140869140625e+01,-2.063513547182083130e-02
2.300000000000000000e+01,-9.534425428807757896e+01,9.004852294921875000e+01,-2.194440364837646484e-02
2.400000000000000000e+01,-9.534372450447422409e+01,9.005148315429687500e+01,-2.328027598559856415e-02
2.500000000000000000e+01,-9.534318405976031841e+01,9.005449676513671875e+01,-2.464230172336101532e-02
2.600000000000000000e+01,-9.534263213297319339e+01,9.005757141113281250e+01,-2.603005617856979370e-02
2.700000000000000000e+01,-9.534207161545083409e+01,9.006069946289062500e+01,-2.744313329458236694e-02
2.800000000000000000e+01,-9.534150003632180415e+01,9.006388092041015625e+01,-2.888114564120769501e-02
2.900000000000000000e+01,-9.534091698765031708e+01,9.006711578369140625e+01,-3.034373372793197632e-02
3.000000000000000000e+01,-9.534032618436937412e+01,9.007041168212890625e+01,-3.183054178953170776e-02
3.100000000000000000e+01,-9.533972556865768411e+01,9.007375335693359375e+01,-3.334123641252517700e-02
3.200000000000000000e+01,-9.533911555673822136e+01,9.007714080810546875e+01,-3.487549722194671631e-02
3.300000000000000000e+01,-9.533849532841664143e+01,9.008059692382812500e+01,-3.643302246928215027e-02
3.400000000000000000e+01,-9.533786530010439719e+01,9.008409118652343750e+01,-3.801351040601730347e-02
3.500000000000000000e+01,-9.533722671196484555e+01,9.008763885498046875e+01,-3.961667791008949280e-02
3.600000000000000000e+01,-9.533657997968757059e+01,9.009123229980468750e+01,-4.124226048588752747e-02
3.700000000000000000e+01,-9.533592345957031000e+01,9.009487915039062500e+01,-4.288999363780021667e-02
3.800000000000000000e+01,-9.533525715606593565e+01,9.009857940673828125e+01,-4.455962404608726501e-02
3.900000000000000000e+01,-9.533458436738270336e+01,9.010231781005859375e+01,-4.625090956687927246e-02
4.000000000000000000e+01,-9.533390180337448783e+01,9.010610961914062500e+01,-4.796361178159713745e-02
4.100000000000000000e+01,-9.533320988024726717e+01,9.010994720458984375e+01,-4.969751089811325073e-02
4.200000000000000000e+01,-9.533251107158007187e+01,9.011383056640625000e+01,-5.145238712430000305e-02
4.300000000000000000e+01,-9.533180373492180593e+01,9.011775970458984375e+01,-5.322802439332008362e-02
4.400000000000000000e+01,-9.533108787445705445e+01,9.012173461914062500e+01,-5.502422526478767395e-02
4.500000000000000000e+01,-9.533036431704240954e+01,9.012574768066406250e+01,-5.684078484773635864e-02
