step,rx_x_m,rx_y_m,rx_z_m,loss,power_db,ground_truth_power_db
1.000000000000000000e+00,2.000000178813934326e-01,4.800000190734863281e+00,1.500000000000000000e+00,1.550397033691406250e+02,-9.408628642360083916e+01,-9.545272361794536664e+01
2.000000000000000000e+00,3.998806774616241455e-01,4.600126266479492188e+00,1.500000000000000000e+00,1.478603668212890625e+02,-9.411711988392471540e+01,-9.545272361794536664e+01
3.000000000000000000e+00,5.995575189590454102e-01,4.400469779968261719e+00,1.500000000000000000e+00,1.408385009765625000e+02,-9.414792225004738668e+01,-9.545272361794536664e+01
4.000000000000000000e+00,7.989426255226135254e-01,4.201127529144287109e+00,1.500000000000000000e+00,1.339785003662109375e+02,-9.417869349575519777e+01,-9.545272361794536664e+01
5.000000000000000000e+00,9.979444742202758789e-01,4.002201557159423828e+00,1.500000000000000000e+00,1.272846832275390625e+02,-9.420941582175046847e+01,-9.545272361794536664e+01
6.000000000000000000e+00,1.196468234062194824e+00,3.803799867630004883e+00,1.500000000000000000e+00,1.207615356445312500e+02,-9.424007670510880530e+01,-9.545272361794536664e+01
7.000000000000000000e+00,1.394415855407714844e+00,3.606036186218261719e+00,1.500000000000000000e+00,1.144129104614257812e+02,-9.427065233951265100e+01,-9.545272361794536664e+01
8.000000000000000000e+00,1.591686010360717773e+00,3.409029245376586914e+00,1.500000000000000000e+00,1.082425537109375000e+02,-9.430112866440239827e+01,-9.545272361794536664e+01
9.000000000000000000e+00,1.788174510002136230e+00,3.212903499603271484e+00,1.500000000000000000e+00,1.022540740966796875e+02,-9.433147655982088509e+01,-9.545272361794536664e+01
1.000000000000000000e+01,1.983774304389953613e+00,3.017788648605346680e+00,1.500000000000000000e+00,9.645050048828125000e+01,-9.436167173363899963e+01,-9.545272361794536664e+01
1.100000000000000000e+01,2.178375720977783203e+00,2.823819875717163086e+00,1.500000000000000000e+00,9.083474731445312500e+01,-9.439167933805700272e+01,-9.545272361794536664e+01
1.200000000000000000e+01,2.371866941452026367e+00,2.631137371063232422e+00,1.500000000000000000e+00,8.540956115722656250e+01,-9.442146930745651900e+01,-9.545272361794536664e+01
1.300000000000000000e+01,2.564133644104003906e+00,2.439886331558227539e+00,1.500000000000000000e+00,8.017683410644531250e+01,-9.445100882727774660e+01,-9.545272361794536664e+01
1.400000000000000000e+01,2.755059719085693359e+00,2.250216484069824219e+00,1.500000000000000000e+00,7.513847351074218750e+01,-9.448025821144992165e+01,-9.545272361794536664e+01
1.500000000000000000e+01,2.944527387619018555e+00,2.062282085418701172e+00,1.500000000000000000e+00,7.029587554931640625e+01,-9.450918670721058845e+01,-9.545272361794536664e+01
1.600000000000000000e+01,3.132417440414428711e+00,1.876241564750671387e+00,1.500000000000000000e+00,6.564986419677734375e+01,-9.453776083925416174e+01,-9.545272361794536664e+01
1.700000000000000000e+01,3.318609714508056641e+00,1.692257165908813477e+00,1.500000000000000000e+00,6.120108032226562500e+01,-9.456594332065313324e+01,-9.545272361794536664e+01
1.800000000000000000e+01,3.502983570098876953e+00,1.510494709014892578e+00,1.500000000000000000e+00,5.694940948486328125e+01,-9.459370650859183627e+01,-9.545272361794536664e+01
1.900000000000000000e+01,3.685417413711547852e+00,1.331122875213623047e+00,1.500000000000000000e+00,5.289455032348632812e+01,-9.462101878197981364e+01,-9.545272361794536664e+01
2.000000000000000000e+01,3.865790128707885742e+00,1.154312729835510254e+00,1.500000000000000000e+00,4.903548431396484375e+01,-9.464785886355089417e+01,-9.545272361794536664e+01
