step,estimated_conductivity_s_per_m,loss_nae
0.000000000000000000e+00,6.692850589752197266e-02,1.445138826966285706e-02
1.000000000000000000e+00,6.894984096288681030e-02,1.444422267377376556e-02
2.000000000000000000e+00,7.103542983531951904e-02,1.443597860634326935e-02
3.000000000000000000e+00,7.318881154060363770e-02,1.442673336714506149e-02
4.000000000000000000e+00,7.541425526142120361e-02,1.441633142530918121e-02
5.000000000000000000e+00,7.771639525890350342e-02,1.440485194325447083e-02
6.000000000000000000e+00,8.010011911392211914e-02,1.439198479056358337e-02
7.000000000000000000e+00,8.257055282592773438e-02,1.437788456678390503e-02
8.000000000000000000e+00,8.513312041759490967e-02,1.436239853501319885e-02
9.000000000000000000e+00,8.779346942901611328e-02,1.434537116438150406e-02
1.000000000000000000e+01,9.055748581886291504e-02,1.432672515511512756e-02
1.100000000000000000e+01,9.343135356903076172e-02,1.430638507008552551e-02
1.200000000000000000e+01,9.642155468463897705e-02,1.428427267819643021e-02
1.300000000000000000e+01,9.953480958938598633e-02,1.426015701144933701e-02
1.400000000000000000e+01,1.027782931923866272e-01,1.423396077007055283e-02
1.500000000000000000e+01,1.061594188213348389e-01,1.420545298606157303e-02
1.600000000000000000e+01,1.096861064434051514e-01,1.417463365942239761e-02
1.700000000000000000e+01,1.133665740489959717e-01,1.414111815392971039e-02
1.800000000000000000e+01,1.172095611691474915e-01,1.410482916980981827e-02
1.900000000000000000e+01,1.212242990732192993e-01,1.406553480774164200e-02
2.000000000000000000e+01,1.254205107688903809e-01,1.402300503104925156e-02
2.100000000000000000e+01,1.298083961009979248e-01,1.397685334086418152e-02
2.200000000000000000e+01,1.343989521265029907e-01,1.392684970051050186e-02
2.300000000000000000e+01,1.392035931348800659e-01,1.387276221066713333e-02
2.400000000000000000e+01,1.442346572875976562e-01,1.381405256688594818e-02
2.500000000000000000e+01,1.495049297809600830e-01,1.375048793852329254e-02
2.600000000000000000e+01,1.550281643867492676e-01,1.368153095245361328e-02
2.700000000000000000e+01,1.608189940452575684e-01,1.360671781003475189e-02
2.800000000000000000e+01,1.668929159641265869e-01,1.352543290704488754e-02
2.900000000000000000e+01,1.732661426067352295e-01,1.343721337616443634e-02
3.000000000000000000e+01,1.799561679363250732e-01,1.334128994494676590e-02
3.100000000000000000e+01,1.869813352823257446e-01,1.323696784675121307e-02
3.200000000000000000e+01,1.943613439798355103e-01,1.312347687780857086e-02
3.300000000000000000e+01,2.021168172359466553e-01,1.299981586635112762e-02
3.400000000000000000e+01,2.102697640657424927e-01,1.286506000906229019e-02
3.500000000000000000e+01,2.188436090946197510e-01,1.271805353462696075e-02
3.600000000000000000e+01,2.278628796339035034e-01,1.255756430327892303e-02
3.700000000000000000e+01,2.373538762331008911e-01,1.238228101283311844e-02
3.800000000000000000e+01,2.473442405462265015e-01,1.219074148684740067e-02
3.900000000000000000e+01,2.578633427619934082e-01,1.198124978691339493e-02
4.000000000000000000e+01,2.689421176910400391e-01,1.175187993794679642e-02
