phi,Ds_dB,Dh_dB
0.0010,-137.1740,-30.7879
0.3213,-87.0352,-30.7879
0.6416,-81.0279,-30.7877
0.9620,-77.5102,-30.7874
1.2823,-75.0132,-30.7870
1.6026,-73.0756,-30.7865
1.9229,-71.4921,-30.7859
2.2432,-70.1528,-30.7852
2.5635,-68.9923,-30.7844
2.8839,-67.9683,-30.7834
3.2042,-67.0520,-30.7824
3.5245,-66.2228,-30.7812
3.8448,-65.4655,-30.7799
4.1651,-64.7685,-30.7786
4.4855,-64.1229,-30.7771
4.8058,-63.5216,-30.7754
5.1261,-62.9588,-30.7737
5.4464,-62.4298,-30.7719
5.7667,-61.9307,-30.7699
6.0870,-61.4584,-30.7679
6.4074,-61.0099,-30.7657
6.7277,-60.5831,-30.7634
7.0480,-60.1758,-30.7610
7.3683,-59.7863,-30.7585
7.6886,-59.4131,-30.7559
8.0090,-59.0548,-30.7532
8.3293,-58.7103,-30.7504
8.6496,-58.3785,-30.7474
8.9699,-58.0584,-30.7443
9.2902,-57.7493,-30.7412
9.6105,-57.4503,-30.7379
9.9309,-57.1609,-30.7345
10.2512,-56.8803,-30.7309
10.5715,-56.6081,-30.7273
10.8918,-56.3437,-30.7236
11.2121,-56.0866,-30.7197
11.5325,-55.8365,-30.7158
11.8528,-55.5930,-30.7117
12.1731,-55.3556,-30.7075
12.4934,-55.1241,-30.7032
12.8137,-54.8981,-30.6987
13.1341,-54.6774,-30.6942
13.4544,-54.4618,-30.6896
13.7747,-54.2509,-30.6848
14.0950,-54.0445,-30.6799
14.4153,-53.8425,-30.6749
14.7356,-53.6446,-30.6698
15.0560,-53.4506,-30.6646
15.3763,-53.2605,-30.6592
15.6966,-53.0739,-30.6538
16.0169,-52.8908,-30.6482
16.3372,-52.7110,-30.6425
16.6576,-52.5344,-30.6367
16.9779,-52.3608,-30.6308
17.2982,-52.1902,-30.6248
17.6185,-52.0224,-30.6186
17.9388,-51.8573,-30.6123
18.2591,-51.6948,-30.6059
18.5795,-51.5349,-30.5994
18.8998,-51.3773,-30.5928
19.2201,-51.2221,-30.5861
19.5404,-51.0692,-30.5792
19.8607,-50.9184,-30.5722
20.1811,-50.7697,-30.5651
20.5014,-50.6230,-30.5579
20.8217,-50.4783,-30.5506
21.1420,-50.3355,-30.5431
21.4623,-50.1945,-30.5355
21.7826,-50.0553,-30.5278
22.1030,-49.9178,-30.5200
22.4233,-49.7820,-30.5121
22.7436,-49.6477,-30.5040
23.0639,-49.5151,-30.4958
23.3842,-49.3839,-30.4875
23.7046,-49.2542,-30.4791
24.0249,-49.1259,-30.4706
24.3452,-48.9990,-30.4619
24.6655,-48.8735,-30.4531
24.9858,-48.7492,-30.4442
25.3061,-48.6262,-30.4352
25.6265,-48.5044,-30.4260
25.9468,-48.3838,-30.4167
26.2671,-48.2644,-30.4073
26.5874,-48.1461,-30.3978
26.9077,-48.0289,-30.3881
27.2281,-47.9127,-30.3783
27.5484,-47.7976,-30.3684
27.8687,-47.6834,-30.3583
