phi,Ed_dB,Etot_dB
0.0010,-131.9452,-54.9058
0.1611,-87.8044,-10.7954
0.3212,-81.8108,-4.8925
0.4812,-78.2979,-1.5314
0.6413,-75.8035,0.7488
0.8014,-73.8678,2.4061
0.9615,-72.2858,3.6428
1.1216,-70.9479,4.5652
1.2816,-69.7887,5.2344
1.4417,-68.7661,5.6869
1.6018,-67.8512,5.9444
1.7619,-67.0234,6.0185
1.9219,-66.2676,5.9121
2.0820,-65.5723,5.6210
2.2421,-64.9284,5.1320
2.4022,-64.3288,4.4215
2.5623,-63.7679,3.4496
2.7223,-63.2409,2.1494
2.8824,-62.7439,0.4037
3.0425,-62.2737,-2.0168
3.2026,-61.8276,-5.6516
3.3627,-61.4032,-12.4001
3.5227,-60.9984,-26.5862
3.6828,-60.6116,-9.5623
3.8429,-60.2411,-4.2733
4.0030,-59.8857,-1.1337
4.1631,-59.5441,1.0291
4.3231,-59.2154,2.6115
4.4832,-58.8985,3.7950
4.6433,-58.5927,4.6765
4.8034,-58.2972,5.3125
4.9635,-58.0113,5.7369
5.1235,-57.7343,5.9698
5.2836,-57.4659,6.0213
5.4437,-57.2054,5.8939
5.6038,-56.9523,5.5822
5.7638,-56.7063,5.0726
5.9239,-56.4670,4.3403
6.0840,-56.2339,3.3440
6.2441,-56.0069,2.0145
6.4042,-55.7855,0.2296
6.5642,-55.5695,-2.2512
6.7243,-55.3587,-6.0040
6.8844,-55.1527,-13.1460
7.0445,-54.9514,-23.7360
7.2046,-54.7545,-9.1494
7.3646,-54.5619,-4.0788
7.5247,-54.3733,-1.0229
7.6848,-54.1887,1.0951
7.8449,-54.0078,2.6495
8.0050,-53.8304,3.8142
8.1650,-53.6565,4.6826
8.3251,-53.4859,5.3093
8.4852,-53.3185,5.7276
8.6453,-53.1541,5.9570
8.8053,-52.9926,6.0074
8.9654,-52.8340,5.8813
9.1255,-52.6782,5.5736
9.2856,-52.5249,5.0711
9.4457,-52.3742,4.3498
9.6057,-52.2260,3.3698
9.7658,-52.0801,2.0648
9.9259,-51.9365,0.3182
10.0860,-51.7952,-2.0965
10.2461,-51.6560,-5.7114
10.4061,-51.5188,-12.3814
10.5662,-51.3837,-27.5270
10.7263,-51.2506,-9.8015
10.8864,-51.1193,-4.4588
11.0465,-50.9899,-1.2957
11.2065,-50.8623,0.8839
11.3666,-50.7364,2.4817
