nu,L
-3.0000,-0.4439
-2.9925,-0.4135
-2.9850,-0.3809
-2.9775,-0.3462
-2.9700,-0.3096
-2.9625,-0.2712
-2.9549,-0.2313
-2.9474,-0.1898
-2.9399,-0.1471
-2.9324,-0.1032
-2.9249,-0.0584
-2.9174,-0.0128
-2.9099,0.0333
-2.9024,0.0797
-2.8949,0.1262
-2.8874,0.1726
-2.8798,0.2187
-2.8723,0.2642
-2.8648,0.3089
-2.8573,0.3526
-2.8498,0.3950
-2.8423,0.4359
-2.8348,0.4750
-2.8273,0.5122
-2.8198,0.5473
-2.8123,0.5799
-2.8048,0.6100
-2.7972,0.6374
-2.7897,0.6618
-2.7822,0.6831
-2.7747,0.7012
-2.7672,0.7161
-2.7597,0.7275
-2.7522,0.7354
-2.7447,0.7399
-2.7372,0.7408
-2.7297,0.7382
-2.7222,0.7320
-2.7146,0.7224
-2.7071,0.7095
-2.6996,0.6932
-2.6921,0.6737
-2.6846,0.6512
-2.6771,0.6258
-2.6696,0.5977
-2.6621,0.5669
-2.6546,0.5338
-2.6471,0.4984
-2.6395,0.4611
-2.6320,0.4220
-2.6245,0.3812
-2.6170,0.3391
-2.6095,0.2958
-2.6020,0.2515
-2.5945,0.2064
-2.5870,0.1607
-2.5795,0.1147
-2.5720,0.0684
-2.5645,0.0222
-2.5569,-0.0239
-2.5494,-0.0697
-2.5419,-0.1150
-2.5344,-0.1597
-2.5269,-0.2036
-2.5194,-0.2466
-2.5119,-0.2886
-2.5044,-0.3295
-2.4969,-0.3690
-2.4894,-0.4073
-2.4819,-0.4440
-2.4743,-0.4793
-2.4668,-0.5129
-2.4593,-0.5448
-2.4518,-0.5750
-2.4443,-0.6033
-2.4368,-0.6298
-2.4293,-0.6543
-2.4218,-0.6769
-2.4143,-0.6975
-2.4068,-0.7161
-2.3992,-0.7326
-2.3917,-0.7470
-2.3842,-0.7593
-2.3767,-0.7695
-2.3692,-0.7776
-2.3617,-0.7836
-2.3542,-0.7874
-2.3467,-0.7891
-2.3392,-0.7886
-2.3317,-0.7861
-2.3242,-0.7814
-2.3166,-0.7747
-2.3091,-0.7658
-2.3016,-0.7549
-2.2941,-0.7420
-2.2866,-0.7271
-2.2791,-0.7102
-2.2716,-0.6914
-2.2641,-0.6706
-2.2566,-0.6481
-2.2491,-0.6236
-2.2416,-0.5974
-2.2340,-0.5695
-2.2265,-0.5399
-2.2190,-0.5087
-2.2115,-0.4760
-2.2040,-0.4417
-2.1965,-0.4060
-2.1890,-0.3689
-2.1815,-0.3306
-2.1740,-0.2910
-2.1665,-0.2503
-2.1589,-0.2085
-2.1514,-0.1658
-2.1439,-0.1222
-2.1364,-0.0778
-2.1289,-0.0327
-2.1214,0.0130
-2.1139,0.0591
-2.1064,0.1057
-2.0989,0.1525
-2.0914,0.1994
-2.0839,0.2464
-2.0763,0.2933
-2.0688,0.3400
-2.0613,0.3864
-2.0538,0.4323
-2.0463,0.4776
-2.0388,0.5222
-2.0313,0.5660
-2.0238,0.6088
-2.0163,0.6506
-2.0088,0.6911
-2.0013,0.7302
-1.9937,0.7679
-1.9862,0.8040
-1.9787,0.8383
-1.9712,0.8709
-1.9637,0.9015
-1.9562,0.9301
-1.9487,0.9566
-1.9412,0.9808
-1.9337,1.0028
-1.9262,1.0224
-1.9186,1.0395
-1.9111,1.0542
-1.9036,1.0663
-1.8961,1.0758
