distance_m,power_los_db,power_refl_db,power_diffr_db
0.000000000000000000e+00,-9.784049887316055560e+01,-1.056811903581395171e+02,-1.250799454895548308e+02
1.000000000000000056e-01,-9.785190162813931636e+01,-1.056813277583481749e+02,-1.250675024276326042e+02
2.000000000000000111e-01,-9.786329865641599213e+01,-1.056814813284316301e+02,-1.250550119750287195e+02
2.999999999999999889e-01,-9.787468355302567602e+01,-1.056816491190137413e+02,-1.250425659884508605e+02
4.000000000000000222e-01,-9.788605688450459752e+01,-1.056818283443538320e+02,-1.250301372003111311e+02
5.000000000000000000e-01,-9.789741996694331760e+01,-1.056820245808914080e+02,-1.250176713682915590e+02
5.999999999999999778e-01,-9.790877152435392361e+01,-1.056822297467527250e+02,-1.250052486693533780e+02
7.000000000000000666e-01,-9.792011736174957548e+01,-1.056824499763296643e+02,-1.249928324156644379e+02
8.000000000000000444e-01,-9.793144912121445600e+01,-1.056826816475957287e+02,-1.249803944895756871e+02
8.999999999999999112e-01,-9.794277074299552055e+01,-1.056829233683358638e+02,-1.249679902356559325e+02
1.000000000000000000e+00,-9.795408432794505416e+01,-1.056831885238594850e+02,-1.249556043603253528e+02
1.100000000000000089e+00,-9.796538860414327132e+01,-1.056834589935955364e+02,-1.249432048422326744e+02
1.199999999999999956e+00,-9.797667888279443105e+01,-1.056837492793409581e+02,-1.249308204749273585e+02
1.300000000000000044e+00,-9.798796104535023233e+01,-1.056840418155371140e+02,-1.249184205424114111e+02
1.400000000000000133e+00,-9.799923267059178045e+01,-1.056843511054521230e+02,-1.249060522704453149e+02
1.500000000000000000e+00,-9.801049207512821226e+01,-1.056846749212913181e+02,-1.248936780749350675e+02
1.600000000000000089e+00,-9.802174138070182607e+01,-1.056850101979275536e+02,-1.248813198391799801e+02
1.700000000000000178e+00,-9.803298081594067526e+01,-1.056853597276678300e+02,-1.248689721093539902e+02
1.799999999999999822e+00,-9.804421330172012006e+01,-1.056857184921544786e+02,-1.248565970787552999e+02
1.899999999999999911e+00,-9.805543254582032375e+01,-1.056860970961510304e+02,-1.248442536187245082e+02
2.000000000000000000e+00,-9.806664107318475487e+01,-1.056864832671674748e+02,-1.248319308169130011e+02
2.100000000000000089e+00,-9.807784298431070624e+01,-1.056868853791178395e+02,-1.248195903868073913e+02
2.200000000000000178e+00,-9.808903233062446247e+01,-1.056872936682739095e+02,-1.248072699666988541e+02
2.300000000000000266e+00,-9.810021049669987292e+01,-1.056877254416268244e+02,-1.247949481807354033e+02
2.399999999999999911e+00,-9.811138044281194937e+01,-1.056881603285098805e+02,-1.247826138088252890e+02
2.500000000000000000e+00,-9.812253733715131432e+01,-1.056886156386539994e+02,-1.247702988332676597e+02
2.600000000000000089e+00,-9.813368492651173369e+01,-1.056890804894844678e+02,-1.247579957947978215e+02
2.700000000000000178e+00,-9.814482503111341316e+01,-1.056895532086495706e+02,-1.247456730937023082e+02
2.800000000000000266e+00,-9.815595436607458169e+01,-1.056900438522983450e+02,-1.247333929600879117e+02
2.899999999999999911e+00,-9.816707079893616594e+01,-1.056905487956116332e+02,-1.247210905490993724e+02
3.000000000000000000e+00,-9.817817811919948667e+01,-1.056910635742544855e+02,-1.247088002620504312e+02
3.100000000000000089e+00,-9.818927777262886991e+01,-1.056915968520690967e+02,-1.246964984899722992e+02
3.200000000000000178e+00,-9.820036046799253882e+01,-1.056921355039915795e+02,-1.246842210810105485e+02
3.300000000000000266e+00,-9.821143997636326617e+01,-1.056926876356683067e+02,-1.246719641302666162e+02
3.400000000000000355e+00,-9.822250739487537885e+01,-1.056932560469636257e+02,-1.246596604445348362e+02
3.500000000000000444e+00,-9.823356416376711309e+01,-1.056938362720902091e+02,-1.246474038730159748e+02
3.599999999999999645e+00,-9.824461133639084665e+01,-1.056944291544196801e+02,-1.246351130012435391e+02
3.700000000000000178e+00,-9.825564554077813284e+01,-1.056950355378889270e+02,-1.246228417988333490e+02
3.799999999999999822e+00,-9.826667550219619329e+01,-1.056956512337299614e+02,-1.246105973441424766e+02
3.900000000000000355e+00,-9.827768895504668478e+01,-1.056962843562604917e+02,-1.245983184227649900e+02
4.000000000000000000e+00,-9.828869423694951024e+01,-1.056969273609256561e+02,-1.245860514466984768e+02
4.100000000000000533e+00,-9.829969162206138833e+01,-1.056975872458975800e+02,-1.245737866264573057e+02
4.200000000000000178e+00,-9.831067771152524415e+01,-1.056982561845860005e+02,-1.245615412028678293e+02
4.299999999999999822e+00,-9.832165275824027617e+01,-1.056989383787442307e+02,-1.245492919561313130e+02
4.400000000000000355e+00,-9.833261948166695277e+01,-1.056996287966957482e+02,-1.245370182697439816e+02
4.500000000000000000e+00,-9.834357445561749955e+01,-1.057003391993643788e+02,-1.245247684952334168e+02
4.600000000000000533e+00,-9.835451917137534394e+01,-1.057010595173995426e+02,-1.245125368717951346e+02
4.700000000000000178e+00,-9.836545554964929750e+01,-1.057017981564113143e+02,-1.245002835283766558e+02
4.799999999999999822e+00,-9.837637972522688301e+01,-1.057025467235693270e+02,-1.244880302506943792e+02
4.900000000000000355e+00,-9.838729652531590375e+01,-1.057033052239864759e+02,-1.244757718565623179e+02
5.000000000000000000e+00,-9.839819873929533856e+01,-1.057040792662530464e+02,-1.244635446756528694e+02
5.099999999999999645e+00,-9.840909705187358725e+01,-1.057048643751150792e+02,-1.244512842402751431e+02
5.200000000000000178e+00,-9.841998047346189082e+01,-1.057056650409140417e+02,-1.244390651895977129e+02
5.300000000000000711e+00,-9.843085722193308129e+01,-1.057064756657218396e+02,-1.244268096301531727e+02
5.400000000000000355e+00,-9.844172044256124821e+01,-1.057073024234124716e+02,-1.244145550514527798e+02
5.500000000000000000e+00,-9.845257629594772197e+01,-1.057081439210074478e+02,-1.244023128959837123e+02
5.600000000000000533e+00,-9.846342127372346908e+01,-1.057089906304577198e+02,-1.243900682760970824e+02
5.700000000000001066e+00,-9.847425522622835103e+01,-1.057098585457381432e+02,-1.243778325992497571e+02
5.799999999999999822e+00,-9.848508225515760728e+01,-1.057107336495002698e+02,-1.243656029919584114e+02
5.899999999999999467e+00,-9.849589584679939946e+01,-1.057116232431482388e+02,-1.243533660280709512e+02
6.000000000000000000e+00,-9.850670053386176050e+01,-1.057125307041459337e+02,-1.243411225059534928e+02
6.099999999999999645e+00,-9.851749489729647280e+01,-1.057134456549533752e+02,-1.243288818272800569e+02
6.200000000000000178e+00,-9.852828051078364524e+01,-1.057143782103403282e+02,-1.243166380219437315e+02
6.299999999999999822e+00,-9.853905336728919906e+01,-1.057153193929070767e+02,-1.243044178544157461e+02
6.400000000000000355e+00,-9.854981977906433599e+01,-1.057162751083433534e+02,-1.242921614479030836e+02
6.500000000000000000e+00,-9.856057487215571200e+01,-1.057172453662004017e+02,-1.242799231338726997e+02
6.600000000000000533e+00,-9.857131892970237175e+01,-1.057182256788230603e+02,-1.242676921641928232e+02
6.700000000000000178e+00,-9.858205745616299964e+01,-1.057192250497421355e+02,-1.242554102437411245e+02
6.800000000000000711e+00,-9.859277988294897455e+01,-1.057202308373968123e+02,-1.242432011104273073e+02
6.900000000000000355e+00,-9.860349651209857313e+01,-1.057212565476544057e+02,-1.242309382648436440e+02
7.000000000000000888e+00,-9.861420285452426526e+01,-1.057222915033442092e+02,-1.242186934665710112e+02
7.099999999999999645e+00,-9.862489789029720555e+01,-1.057233427464148292e+02,-1.242064012330122722e+02
7.199999999999999289e+00,-9.863558279111470029e+01,-1.057244015626033047e+02,-1.241941699757649218e+02
7.299999999999999822e+00,-9.864625521049939039e+01,-1.057254797826626884e+02,-1.241819292850464933e+02
7.400000000000000355e+00,-9.865692383902838003e+01,-1.057265655927199930e+02,-1.241696535097264871e+02
7.500000000000000000e+00,-9.866758015813701377e+01,-1.057276685760722756e+02,-1.241574160145867722e+02
7.599999999999999645e+00,-9.867822623526819825e+01,-1.057287814197462126e+02,-1.241451447251838829e+02
7.700000000000000178e+00,-9.868886103932189258e+01,-1.057299089225600710e+02,-1.241328891091157232e+02
7.800000000000000711e+00,-9.869948844381802644e+01,-1.057310502501117497e+02,-1.241205986647197932e+02
7.900000000000000355e+00,-9.871010250854840251e+01,-1.057322042852626964e+02,-1.241083395691621405e+02
8.000000000000000000e+00,-9.872070935668666891e+01,-1.057333673712013109e+02,-1.240960502878181302e+02
8.100000000000001421e+00,-9.873130752159090662e+01,-1.057345482615452852e+02,-1.240837833240929058e+02
8.200000000000001066e+00,-9.874189552274678761e+01,-1.057357430196451276e+02,-1.240715593285514728e+02
8.300000000000000711e+00,-9.875247231793794356e+01,-1.057369519391596100e+02,-1.240592647288642212e+02
8.400000000000000355e+00,-9.876304048197205532e+01,-1.057381676899837828e+02,-1.240469958689941876e+02
8.500000000000000000e+00,-9.877359625338330318e+01,-1.057394027059233679e+02,-1.240346617205794928e+02
8.599999999999999645e+00,-9.878414585633869649e+01,-1.057406493747419063e+02,-1.240223734994638392e+02
8.699999999999999289e+00,-9.879468279029654809e+01,-1.057419054454038871e+02,-1.240100994993293426e+02
8.800000000000000711e+00,-9.880521239341938156e+01,-1.057431785589749609e+02,-1.239978122124562532e+02
8.900000000000000355e+00,-9.881572950263762323e+01,-1.057444633573659871e+02,-1.239855212796134367e+02
9.000000000000000000e+00,-9.882623902460704812e+01,-1.057457638110546725e+02,-1.239731909774923508e+02
9.099999999999999645e+00,-9.883673623145647014e+01,-1.057470711622932527e+02,-1.239608841554746590e+02
9.200000000000001066e+00,-9.884722836716241545e+01,-1.057483992863462987e+02,-1.239485688624594104e+02
9.300000000000000711e+00,-9.885770560377864058e+01,-1.057497337624337490e+02,-1.239362534274498984e+02
9.400000000000000355e+00,-9.886817752494948763e+01,-1.057510862082726248e+02,-1.239239460858101580e+02
9.500000000000000000e+00,-9.887863658214067186e+01,-1.057524518242788361e+02,-1.239116149968345013e+02
9.599999999999999645e+00,-9.888908915462410221e+01,-1.057538283555591931e+02,-1.238992977303156806e+02
9.699999999999999289e+00,-9.889952811768156948e+01,-1.057552172298043729e+02,-1.238869568157598451e+02
9.800000000000000711e+00,-9.890996128395967446e+01,-1.057566218616875062e+02,-1.238746342078218277e+02
9.900000000000000355e+00,-9.892037773998094963e+01,-1.057580365928918127e+02,-1.238622628184424741e+02
1.000000000000000000e+01,-9.893079379609405066e+01,-1.057594622844403887e+02,-1.238499379961726845e+02
