col row val
0 0 -0.243812
1 0 -0.149821
2 0 -0.055553
3 0 -0.151189
4 0 -0.054408
5 0 0.381424
6 0 0.309836
7 0 0.211406
8 0 -0.255067
9 0 -0.168742
10 0 -0.079945
11 0 -0.672786
12 0 0.005599
13 0 -0.121706
14 0 -0.170407
15 0 -0.350100
16 0 -0.587062
17 0 0.118587
18 0 0.244810
19 0 -0.284429
20 0 -0.310876
21 0 0.038473
22 0 0.311403
23 0 0.022716
24 0 0.345965
25 0 -0.286438
26 0 0.546058
27 0 -0.048024
28 0 0.005712
29 0 -0.660198
30 0 -0.179574
31 0 -0.180800
32 0 -0.097159
33 0 0.120965
34 0 -0.208391
35 0 0.064495
36 0 -0.066052
37 0 0.147541
38 0 -0.218433
39 0 0.164863
40 0 0.042319
41 0 -0.352130
42 0 -0.018764
43 0 0.084731
44 0 0.117604
45 0 -0.001712
46 0 0.543871
47 0 -0.423644
48 0 0.448169
49 0 0.241028
50 0 0.158211
51 0 -0.270323
52 0 -0.040306
53 0 -0.151223
54 0 0.245771
55 0 -0.225475
56 0 0.031369
57 0 -0.695008
58 0 -0.298365
59 0 0.953184
60 0 0.251250
61 0 0.017431
62 0 -0.417853
63 0 -0.025094
64 0 -0.146583
65 0 0.036939
66 0 0.164044
67 0 0.129145
68 0 0.146934
69 0 0.430367
70 0 0.049209
71 0 0.512697
72 0 0.421003
73 0 -0.130154
74 0 0.161059
75 0 -0.703061
76 0 -0.137174
77 0 0.377021
78 0 0.246799
79 0 0.013697
80 0 0.107549
81 0 0.159051
82 0 -0.243184
83 0 0.087457
84 0 0.661156
85 0 0.210311
86 0 0.276681
87 0 -0.285676
88 0 -0.527404
89 0 0.547031
90 0 0.066728
91 0 0.109380
92 0 -0.182860
93 0 -0.415432
94 0 0.074788
95 0 0.468002
96 0 -0.536986
97 0 0.343142
98 0 -0.595828
99 0 -0.301008
100 0 0.091714
101 0 0.542668
102 0 -0.235747
103 0 0.140998
104 0 0.486546
105 0 0.322741
106 0 -0.478323
107 0 -0.305541
108 0 -0.019771
109 0 -0.340375
110 0 -0.216155
111 0 -0.054840
112 0 -0.500964
113 0 -0.167940
114 0 0.254581
115 0 -0.366785
116 0 -0.244900
117 0 -0.448040
118 0 0.283637
119 0 0.709106
120 0 0.348575
121 0 0.187713
122 0 0.497255
123 0 -0.450264
124 0 -0.497063
125 0 -0.118371
126 0 0.430060
127 0 0.219871

0 1 -0.266524
1 1 -0.363881
2 1 0.192775
3 1 -0.205964
4 1 0.104658
5 1 0.426062
6 1 0.341184
7 1 0.057883
8 1 -0.177963
9 1 -0.138085
10 1 -0.170055
11 1 -0.642059
12 1 -0.142053
13 1 -0.175110
14 1 -0.292471
15 1 -0.268812
16 1 -0.824563
17 1 0.108463
18 1 0.471339
19 1 -0.066612
20 1 -0.331019
21 1 0.382541
22 1 0.174581
23 1 0.002112
24 1 0.655695
25 1 -0.164489
26 1 0.278326
27 1 -0.002223
28 1 0.227288
29 1 -0.724856
30 1 -0.031035
31 1 -0.149135
32 1 -0.066703
33 1 -0.070503
34 1 0.098324
35 1 0.199484
36 1 -0.141571
37 1 0.157992
38 1 0.233468
39 1 0.044366
40 1 0.061916
41 1 -0.218233
42 1 -0.377522
43 1 0.115577
44 1 0.047379
45 1 -0.052700
46 1 0.536127
47 1 -0.444373
48 1 0.697052
49 1 0.139724
50 1 0.068168
51 1 -0.144614
52 1 0.174770
53 1 -0.153392
54 1 0.639930
55 1 -0.224007
56 1 0.123746
57 1 -0.681923
58 1 -0.303419
59 1 1.076946
60 1 0.363961
61 1 -0.244716
62 1 -0.323383
63 1 -0.244648
64 1 -0.031190
65 1 -0.217911
66 1 0.569670
67 1 0.321905
68 1 0.119884
69 1 0.303307
70 1 -0.015135
71 1 0.364327
72 1 0.464988
73 1 0.329931
74 1 0.260904
75 1 -0.200700
76 1 -0.393467
77 1 0.148590
