col row val
0 0 -1.032742
1 0 -0.662501
2 0 0.586621
3 0 -0.222864
4 0 -0.016067
5 0 0.109969
6 0 -0.014795
7 0 -0.709995
8 0 -0.557733
9 0 -0.393740
10 0 -0.041222
11 0 0.011611
12 0 0.223532
13 0 -0.418947
14 0 -0.203547
15 0 -0.026656
16 0 -0.255587
17 0 -0.817514
18 0 -0.563029
19 0 0.437714
20 0 0.385995
21 0 -0.698877
22 0 0.057422
23 0 0.596629
24 0 -0.493831
25 0 -0.443954
26 0 -0.064603
27 0 -0.116528
28 0 0.140990
29 0 -0.714627
30 0 0.743845
31 0 -0.768262
32 0 0.336013
33 0 0.318231
34 0 -0.390574
35 0 0.163690
36 0 0.354406
37 0 1.212881
38 0 0.040004
39 0 0.184116
40 0 -0.148298
41 0 0.096150
42 0 0.010517
43 0 -0.496493
44 0 0.662237
45 0 -0.362008
46 0 0.204028
47 0 0.111250
48 0 -0.069035
49 0 -0.354457
50 0 0.118108
51 0 0.109020
52 0 0.027888
53 0 -0.249775
54 0 0.144521
55 0 -0.273838
56 0 0.010215
57 0 0.000493
58 0 -0.867655
59 0 -0.033280
60 0 -0.339543
61 0 0.386563
62 0 -0.447190
63 0 0.096972
64 0 -1.057520
65 0 0.532418
66 0 -0.318823
67 0 -0.195385
68 0 -0.580770
69 0 0.399776
70 0 0.385985
71 0 0.813222
72 0 0.397623
73 0 -0.395127
74 0 0.107619
75 0 -0.162991
76 0 0.356972
77 0 0.501943
78 0 -0.114089
79 0 0.190592
80 0 -0.758638
81 0 -0.195207
82 0 0.000775
83 0 -0.237435
84 0 0.233659
85 0 0.050287
86 0 0.228551
87 0 0.846309
88 0 0.136686
89 0 0.718317
90 0 -0.534098
91 0 -0.108713
92 0 -0.273755
93 0 -0.416103
94 0 -0.411535
95 0 0.346532
96 0 0.076391
97 0 0.376810
98 0 0.165805
99 0 -0.512667
100 0 -0.105540
101 0 -0.120425
102 0 0.600084
103 0 -0.764562
104 0 0.244222
105 0 0.338303
106 0 -0.338341
107 0 0.428637
108 0 -0.187273
109 0 0.049052
110 0 -0.897606
111 0 0.367485
112 0 -0.179249
113 0 -0.274540
114 0 -0.917504
115 0 0.110748
116 0 -0.371251
117 0 0.048705
118 0 -0.679286
119 0 0.523259
120 0 -0.529976
121 0 0.175518
122 0 0.369154
123 0 0.023876
124 0 -0.389245
125 0 -0.477832
126 0 0.471394
127 0 -0.409023

0 1 -1.031729
1 1 -0.492267
2 1 0.288029
3 1 -0.336526
4 1 0.128473
5 1 0.270845
6 1 0.170730
7 1 -0.995432
8 1 -0.396742
9 1 -0.424686
10 1 0.256191
11 1 -0.085735
12 1 0.111442
13 1 0.035007
14 1 0.197719
15 1 -0.062984
16 1 -0.150750
17 1 -0.800186
18 1 -0.486612
19 1 0.079600
20 1 0.136882
21 1 -0.649666
22 1 0.075622
23 1 0.424826
24 1 -0.139925
25 1 -0.473560
26 1 0.198965
27 1 -0.128910
28 1 -0.115614
29 1 -0.680064
30 1 0.921162
31 1 -0.777631
32 1 0.330065
33 1 0.208433
34 1 -0.180435
35 1 0.224605
36 1 0.155409
37 1 1.053384
38 1 0.208608
39 1 0.358328
40 1 0.012785
41 1 -0.103576
42 1 0.054346
43 1 -0.058295
44 1 0.796813
45 1 -0.567167
46 1 0.187282
47 1 0.232595
48 1 -0.016078
49 1 -0.206857
50 1 -0.098949
51 1 0.172484
52 1 0.118537
53 1 -0.242660
54 1 -0.113564
55 1 -0.371872
56 1 0.014829
57 1 -0.130341
58 1 -0.852811
59 1 0.196930
60 1 -0.456727
61 1 0.319258
62 1 -0.436149
63 1 0.242054
64 1 -0.964858
65 1 0.415600
66 1 -0.161251
67 1 0.031709
68 1 -0.397841
69 1 0.563499
70 1 0.253004
71 1 0.598318
72 1 0.047282
73 1 -0.549015
74 1 0.162930
75 1 -0.200327
76 1 0.540398
77 1 0.339196
78 1 0.386170
79 1 0.060225
80 1 -0.695477
81 1 -0.202939
82 1 -0.514973
83 1 -0.338436
84 1 -0.001644
85 1 0.130764
86 1 0.097506
87 1 1.026571
88 1 0.110045
89 1 0.757719
90 1 -0.356082
91 1 -0.217572
92 1 -0.504587
93 1 -0.421351
94 1 -0.720791
95 1 0.104014
96 1 -0.105735
97 1 0.309034
98 1 0.003144
99 1 -0.537594
100 1 0.025445
101 1 -0.277779
102 1 0.548127
103 1 -0.538516
104 1 0.169711
105 1 0.391924
106 1 -0.366370
107 1 0.282489
108 1 -0.276775
109 1 0.054117
110 1 -0.797891
111 1 0.237859
112 1 -0.194809
113 1 0.035773
114 1 -0.826532
115 1 0.271153
116 1 -0.353907
117 1 0.106661
118 1 -0.373919
119 1 0.606732
120 1 -0.329525
121 1 0.198162
122 1 0.143417
123 1 0.239464
124 1 -0.004012
125 1 -0.820540
126 1 0.547352
127 1 -0.154945

0 2 -0.092836
1 2 -0.035198
2 2 0.044859
3 2 -0.081244
4 2 -0.119025
5 2 -0.087066
6 2 -0.068404
7 2 -0.311709
8 2 0.056778
9 2 -0.092693
10 2 0.184948
11 2 0.093143
12 2 0.007349
13 2 0.219582
14 2 0.117765
15 2 -0.062024
16 2 0.059813
17 2 0.036802
18 2 -0.227870
19 2 0.062224
20 2 0.149551
21 2 -0.191022
22 2 -0.101797
23 2 -0.066855
24 2 -0.270048
25 2 -0.016495
26 2 -0.105938
27 2 0.133736
28 2 -0.018401
29 2 -0.146600
30 2 0.421404
31 2 -0.105445
32 2 0.126732
33 2 -0.023008
34 2 0.056187
35 2 0.252151
36 2 -0.074993
37 2 0.235341
38 2 -0.035396
39 2 -0.020981
40 2 -0.164699
41 2 0.141615
42 2 0.115946
43 2 -0.179521
44 2 0.249271
45 2 -0.151865
46 2 0.026235
47 2 0.045815
48 2 0.086573
49 2 -0.106677
50 2 -0.182018
51 2 0.109948
52 2 -0.140590
53 2 -0.024106
54 2 -0.107174
55 2 -0.261758
56 2 -0.116206
57 2 -0.053450
58 2 -0.299909
59 2 -0.262800
60 2 -0.116553
61 2 0.190862
62 2 -0.158268
63 2 -0.162100
64 2 -0.235033
65 2 0.134674
66 2 -0.059854
67 2 -0.230580
68 2 -0.107476
69 2 0.245125
70 2 -0.016976
71 2 0.219483
72 2 0.110189
73 2 -0.378218
74 2 0.142409
75 2 -0.226203
76 2 0.311870
77 2 0.254574
78 2 -0.026490
79 2 -0.025190
80 2 -0.163576
81 2 -0.064646
82 2 -0.134508
83 2 -0.044643
84 2 -0.037386
85 2 -0.035052
86 2 0.038769
87 2 0.335750
88 2 0.007168
89 2 0.304724
90 2 -0.051655
91 2 -0.409877
92 2 -0.101172
93 2 -0.097967
94 2 -0.145568
95 2 -0.005698
96 2 0.004884
97 2 0.068648
98 2 -0.031879
99 2 -0.378309
100 2 0.071893
101 2 0.041474
102 2 0.199747
103 2 -0.253892
104 2 0.050931
105 2 0.067939
106 2 -0.176847
107 2 0.076633
108 2 -0.082951
109 2 -0.172987
110 2 0.040072
111 2 0.137868
112 2 -0.052110
113 2 0.070476
114 2 -0.378348
115 2 0.298458
116 2 -0.025496
117 2 -0.053200
118 2 -0.122853
119 2 -0.038841
120 2 0.043093
121 2 -0.049110
122 2 0.138377
123 2 -0.031582
124 2 -0.118808
125 2 -0.246594
126 2 0.110096
127 2 -0.064260

0 3 -0.150939
1 3 0.190057
2 3 -0.223902
3 3 -0.125315
4 3 -0.221990
5 3 -0.010528
6 3 -0.171608
7 3 -0.490147
8 3 0.164734
9 3 -0.125899
10 3 0.388406
11 3 -0.038132
12 3 0.145263
13 3 0.354146
14 3 0.142061
15 3 -0.012915
16 3 0.319831
17 3 0.202678
18 3 0.062632
19 3 -0.154988
20 3 0.127660
21 3 -0.132883
22 3 -0.150435
23 3 -0.282942
24 3 -0.044078
25 3 -0.007366
26 3 0.198919
27 3 0.215986
28 3 -0.098999
29 3 -0.174701
30 3 0.524626
31 3 -0.010484
32 3 0.280830
33 3 0.088966
34 3 0.075010
35 3 0.383276
36 3 -0.257947
37 3 0.369795
38 3 0.150391
39 3 0.077610
40 3 -0.079779
41 3 0.035059
42 3 -0.093299
43 3 -0.033024
44 3 0.439672
45 3 -0.233290
46 3 0.393287
47 3 -0.042124
48 3 0.302441
49 3 -0.214339
50 3 -0.532771
51 3 0.140656
52 3 -0.062915
53 3 0.087759
54 3 -0.268809
55 3 -0.366926
56 3 -0.134074
57 3 -0.149761
58 3 -0.340464
59 3 -0.413076
60 3 -0.385759
61 3 0.193160
62 3 -0.058904
63 3 -0.102855
64 3 -0.259576
65 3 0.180043
66 3 0.055994
67 3 0.117432
68 3 0.062673
69 3 0.148935
70 3 -0.031638
71 3 0.308123
72 3 -0.289598
73 3 -0.328812
74 3 0.237326
75 3 -0.256880
76 3 0.410273
77 3 0.313985
78 3 0.205215
79 3 -0.089793
80 3 -0.187869
81 3 0.011546
82 3 -0.325235
83 3 -0.022781
84 3 -0.179968
85 3 -0.016109
86 3 -0.150875
87 3 0.236214
88 3 0.003542
89 3 0.465253
90 3 -0.077405
91 3 -0.448959
92 3 -0.264859
93 3 -0.081585
94 3 -0.348306
95 3 0.015135
96 3 -0.210391
97 3 0.112212
98 3 -0.074962
99 3 -0.256122
100 3 0.324220
101 3 -0.059066
102 3 0.123213
103 3 -0.335686
104 3 -0.049447
105 3 -0.004455
106 3 -0.057630
107 3 0.110161
108 3 -0.200016
109 3 -0.160172
110 3 -0.058347
111 3 0.106711
112 3 0.054742
113 3 0.137364
114 3 -0.296942
115 3 0.072857
116 3 -0.137782
117 3 0.002716
118 3 -0.163918
119 3 -0.117270
120 3 0.081082
121 3 -0.137877
122 3 -0.031542
123 3 0.082482
124 3 0.069293
125 3 -0.501714
126 3 0.111703
127 3 0.017614

0 4 -0.044111
1 4 0.532788
2 4 -0.126312
3 4 -0.137244
4 4 -0.509416
5 4 -0.212903
6 4 -0.257742
7 4 0.320678
8 4 0.315847
9 4 0.024169
10 4 0.135322
11 4 -0.027483
12 4 -0.040823
13 4 0.198595
14 4 -0.096626
15 4 -0.042008
16 4 0.408528
17 4 0.572460
18 4 0.197337
19 4 -0.232086
20 4 0.145919
21 4 -0.064698
22 4 -0.191393
23 4 -0.614713
24 4 -0.138775
25 4 0.295021
26 4 0.096467
27 4 0.452422
28 4 0.107196
29 4 0.075672
30 4 0.078833
31 4 0.166896
32 4 0.136329
33 4 0.229825
34 4 0.169918
35 4 0.260479
36 4 -0.362429
37 4 0.172191
38 4 0.029802
39 4 -0.126123
40 4 -0.243993
41 4 -0.129080
42 4 -0.233613
43 4 -0.150664
44 4 -0.120602
45 4 0.043133
46 4 0.295982
47 4 -0.330950
48 4 0.543926
49 4 -0.447221
50 4 -0.556191
51 4 -0.163025
52 4 -0.098682
53 4 0.140741
54 4 -0.089926
55 4 -0.128021
56 4 -0.237401
57 4 -0.057400
58 4 -0.382193
59 4 -0.649457
60 4 -0.109922
61 4 0.127431
62 4 0.160857
63 4 -0.322653
64 4 0.029827
65 4 -0.087835
66 4 0.162263
67 4 0.056419
68 4 0.135003
69 4 -0.149694
70 4 -0.028729
71 4 0.332419
72 4 -0.320397
73 4 -0.340313
74 4 0.171971
75 4 0.008914
76 4 0.100563
77 4 0.283402
78 4 -0.122873
79 4 0.174397
80 4 -0.200881
81 4 0.261681
82 4 -0.054388
83 4 0.504079
84 4 0.001711
85 4 -0.103994
86 4 0.089560
87 4 -0.405542
88 4 -0.022559
89 4 0.101681
90 4 -0.033236
91 4 -0.538922
92 4 -0.163052
93 4 0.055913
94 4 0.251640
95 4 -0.036189
96 4 -0.126872
97 4 -0.038203
