x,magnitude,phase
1.000000e-03,5.465352e-02,4.357504e+01
1.009262e-03,5.489964e-02,4.356855e+01
1.018610e-03,5.514684e-02,4.356203e+01
1.028045e-03,5.539513e-02,4.355549e+01
1.037567e-03,5.564450e-02,4.354891e+01
1.047177e-03,5.589496e-02,4.354231e+01
1.056876e-03,5.614653e-02,4.353567e+01
1.066665e-03,5.639919e-02,4.352900e+01
1.076545e-03,5.665296e-02,4.352231e+01
1.086516e-03,5.690784e-02,4.351559e+01
1.096579e-03,5.716383e-02,4.350883e+01
1.106736e-03,5.742094e-02,4.350204e+01
1.116987e-03,5.767918e-02,4.349523e+01
1.127333e-03,5.793854e-02,4.348838e+01
1.137774e-03,5.819904e-02,4.348151e+01
1.148312e-03,5.846068e-02,4.347460e+01
1.158948e-03,5.872346e-02,4.346766e+01
1.169683e-03,5.898738e-02,4.346069e+01
1.180517e-03,5.925246e-02,4.345369e+01
1.191451e-03,5.951870e-02,4.344666e+01
1.202486e-03,5.978609e-02,4.343959e+01
1.213624e-03,6.005465e-02,4.343250e+01
1.224865e-03,6.032438e-02,4.342537e+01
1.236210e-03,6.059529e-02,4.341821e+01
1.247660e-03,6.086738e-02,4.341102e+01
1.259216e-03,6.114065e-02,4.340380e+01
1.270879e-03,6.141512e-02,4.339654e+01
1.282650e-03,6.169078e-02,4.338926e+01
1.294530e-03,6.196763e-02,4.338194e+01
1.306520e-03,6.224570e-02,4.337458e+01
1.318621e-03,6.252497e-02,4.336720e+01
1.330835e-03,6.280546e-02,4.335978e+01
1.343161e-03,6.308716e-02,4.335233e+01
1.355602e-03,6.337009e-02,4.334484e+01
1.368158e-03,6.365425e-02,4.333732e+01
1.380830e-03,6.393964e-02,4.332977e+01
1.393619e-03,6.422628e-02,4.332219e+01
1.406527e-03,6.451415e-02,4.331457e+01
1.419555e-03,6.480328e-02,4.330691e+01
1.432703e-03,6.509366e-02,4.329923e+01
1.445973e-03,6.538530e-02,4.329150e+01
1.459366e-03,6.567820e-02,4.328375e+01
1.472883e-03,6.597237e-02,4.327596e+01
1.486525e-03,6.626782e-02,4.326813e+01
1.500293e-03,6.656455e-02,4.326027e+01
1.514189e-03,6.686256e-02,4.325238e+01
1.528214e-03,6.716186e-02,4.324444e+01
1.542369e-03,6.746246e-02,4.323648e+01
1.556654e-03,6.776436e-02,4.322848e+01
1.571072e-03,6.806756e-02,4.322044e+01
1.585624e-03,6.837207e-02,4.321237e+01
1.600310e-03,6.867790e-02,4.320426e+01
1.615133e-03,6.898505e-02,4.319611e+01
1.630092e-03,6.929353e-02,4.318793e+01
1.645191e-03,6.960334e-02,4.317971e+01
1.660429e-03,6.991449e-02,4.317146e+01
1.675808e-03,7.022697e-02,4.316317e+01
1.691330e-03,7.054081e-02,4.315484e+01
1.706995e-03,7.085600e-02,4.314648e+01
1.722805e-03,7.117255e-02,4.313808e+01
1.738762e-03,7.149046e-02,4.312964e+01
1.754867e-03,7.180974e-02,4.312116e+01
1.771121e-03,7.213040e-02,4.311265e+01
1.787526e-03,7.245244e-02,4.310409e+01
1.804082e-03,7.277586e-02,4.309550e+01
1.820792e-03,7.310067e-02,4.308688e+01
1.837656e-03,7.342688e-02,4.307821e+01
1.854677e-03,7.375449e-02,4.306950e+01
1.871855e-03,7.408351e-02,4.306076e+01
1.889193e-03,7.441395e-02,4.305198e+01
1.906691e-03,7.474580e-02,4.304316e+01
1.924351e-03,7.507907e-02,4.303430e+01
1.942175e-03,7.541378e-02,4.302540e+01
1.960163e-03,7.574992e-02,4.301646e+01
1.978319e-03,7.608751e-02,4.300748e+01
1.996642e-03,7.642654e-02,4.299846e+01
2.015136e-03,7.676702e-02,4.298940e+01
2.033800e-03,7.710896e-02,4.298030e+01
2.052638e-03,7.745237e-02,4.297116e+01
2.071650e-03,7.779724e-02,4.296198e+01
2.090838e-03,7.814359e-02,4.295276e+01
2.110203e-03,7.849142e-02,4.294350e+01
2.129749e-03,7.884074e-02,4.293420e+01
2.149475e-03,7.919155e-02,4.292486e+01
2.169384e-03,7.954386e-02,4.291548e+01
2.189477e-03,7.989767e-02,4.290605e+01
2.209756e-03,8.025300e-02,4.289658e+01
2.230223e-03,8.060984e-02,4.288707e+01
2.250880e-03,8.096820e-02,4.287752e+01
2.271728e-03,8.132809e-02,4.286793e+01
2.292769e-03,8.168951e-02,4.285829e+01
2.314005e-03,8.205248e-02,4.284861e+01
2.335438e-03,8.241699e-02,4.283889e+01
2.357069e-03,8.278305e-02,4.282913e+01
2.378901e-03,8.315067e-02,4.281932e+01
2.400935e-03,8.351985e-02,4.280947e+01
2.423173e-03,8.389060e-02,4.279958e+01
2.445617e-03,8.426293e-02,4.278964e+01
2.468268e-03,8.463684e-02,4.277966e+01
2.491130e-03,8.501233e-02,4.276964e+01
2.514203e-03,8.538942e-02,4.275957e+01
2.537490e-03,8.576811e-02,4.274945e+01
2.560993e-03,8.614841e-02,4.273929e+01
2.584714e-03,8.653032e-02,4.272909e+01
2.608654e-03,8.691384e-02,4.271884e+01
2.632815e-03,8.729899e-02,4.270855e+01
2.657201e-03,8.768578e-02,4.269821e+01
2.681813e-03,8.807419e-02,4.268783e+01
2.706652e-03,8.846426e-02,4.267740e+01
2.731722e-03,8.885597e-02,4.266692e+01
2.757023e-03,8.924933e-02,4.265640e+01
2.782559e-03,8.964436e-02,4.264584e+01
2.808332e-03,9.004106e-02,4.263522e+01
2.834343e-03,9.043943e-02,4.262456e+01
2.860596e-03,9.083948e-02,4.261385e+01
2.887091e-03,9.124122e-02,4.260310e+01
2.913832e-03,9.164465e-02,4.259230e+01
2.940820e-03,9.204978e-02,4.258145e+01
2.968059e-03,9.245662e-02,4.257055e+01
2.995549e-03,9.286517e-02,4.255961e+01
3.023295e-03,9.327544e-02,4.254861e+01
3.051297e-03,9.368743e-02,4.253757e+01
3.079559e-03,9.410116e-02,4.252648e+01
3.108082e-03,9.451662e-02,4.251535e+01
3.136870e-03,9.493383e-02,4.250416e+01
3.165924e-03,9.535279e-02,4.249292e+01
3.195248e-03,9.577351e-02,4.248164e+01
3.224842e-03,9.619599e-02,4.247031e+01
3.254712e-03,9.662025e-02,4.245892e+01
3.284857e-03,9.704628e-02,4.244749e+01
3.315282e-03,9.747410e-02,4.243601e+01
3.345989e-03,9.790370e-02,4.242447e+01
3.376980e-03,9.833510e-02,4.241289e+01
3.408259e-03,9.876831e-02,4.240125e+01
3.439826e-03,9.920333e-02,4.238957e+01
3.471687e-03,9.964016e-02,4.237783e+01
