step,power_db,alpha_deg,beta_deg,gamma_deg
0.000000000000000000e+00,-9.170314199906350439e+01,-6.322957435411780125e-11,1.973749458556994796e-04,3.158105537295341492e-04
1.000000000000000000e+00,-9.170313950115422585e+01,-6.854931899891170133e-11,4.764406476169824600e-04,7.622690172865986824e-04
2.000000000000000000e+00,-9.170313807377814896e+01,-7.877511143394855253e-11,8.181479061022400856e-04,1.308842794969677925e-03
3.000000000000000000e+00,-9.170313450533997468e+01,-9.137263168312870221e-11,1.212630886584520340e-03,1.939691486768424511e-03
4.000000000000000000e+00,-9.170313129374815730e+01,-7.813705238390866725e-11,1.653581741265952587e-03,2.644665073603391647e-03
5.000000000000000000e+00,-9.170312772531556789e+01,-6.277525027575947547e-11,2.136517548933625221e-03,3.416531719267368317e-03
6.000000000000000000e+00,-9.170312344320032594e+01,3.344658230930441789e-11,2.658041426911950111e-03,4.249793477356433868e-03
7.000000000000000000e+00,-9.170311916108931882e+01,1.394712262348107856e-10,3.215463133528828621e-03,5.140079651027917862e-03
8.000000000000000000e+00,-9.170311345161454142e+01,3.130077586011026369e-10,3.806582884863018990e-03,6.083803717046976089e-03
9.000000000000000000e+00,-9.170310809898876414e+01,4.983566337379841116e-10,4.429559689015150070e-03,7.077949121594429016e-03
1.000000000000000000e+01,-9.170310274636958070e+01,7.233575960441385178e-10,5.082821939140558243e-03,8.119927719235420227e-03
1.100000000000000000e+01,-9.170309703691637537e+01,1.028055418572648705e-09,5.765009205788373947e-03,9.207487106323242188e-03
1.200000000000000000e+01,-9.170309168431082014e+01,1.406496807909718427e-09,6.474926602095365524e-03,1.033863797783851624e-02
1.300000000000000000e+01,-9.170308526119285375e+01,1.884371103599846720e-09,7.211516145616769791e-03,1.151160709559917450e-02
1.400000000000000000e+01,-9.170307848124531347e+01,2.473617977116759903e-09,7.973833009600639343e-03,1.272479724138975143e-02
1.500000000000000000e+01,-9.170307205814688700e+01,3.199404963183383188e-09,8.761022239923477173e-03,1.397676113992929459e-02
1.600000000000000000e+01,-9.170306492138197996e+01,4.086771809852507431e-09,9.572310373187065125e-03,1.526617258787155151e-02
1.700000000000000000e+01,-9.170305956881603038e+01,5.130354363558353725e-09,1.040699053555727005e-02,1.659181155264377594e-02
1.800000000000000000e+01,-9.170305207523472291e+01,6.368072291706994292e-09,1.126441545784473419e-02,1.795255206525325775e-02
1.900000000000000000e+01,-9.170304422483012274e+01,7.833954818181609880e-09,1.214398816227912903e-02,1.934734918177127838e-02
2.000000000000000000e+01,-9.170303601760409151e+01,9.562185709910409059e-09,1.304515544325113297e-02,2.077522128820419312e-02
2.100000000000000000e+01,-9.170302816722850991e+01,1.158290086067381708e-08,1.396740507334470749e-02,2.223525568842887878e-02
2.200000000000000000e+01,-9.170302031686711075e+01,1.400081828251131810e-08,1.491025835275650024e-02,2.372659184038639069e-02
2.300000000000000000e+01,-9.170301318018724146e+01,1.684830230885836500e-08,1.587326824665069580e-02,2.524841576814651489e-02
2.400000000000000000e+01,-9.170300568668599794e+01,2.016587075104325777e-08,1.685601472854614258e-02,2.679996006190776825e-02
2.500000000000000000e+01,-9.170299676586805049e+01,2.399598209024134121e-08,1.785810478031635284e-02,2.838049456477165222e-02
2.600000000000000000e+01,-9.170298784506842082e+01,2.841127333397253096e-08,1.887916959822177887e-02,2.998932823538780212e-02
2.700000000000000000e+01,-9.170297892428712316e+01,3.348383614820704679e-08,1.991885527968406677e-02,3.162579610943794250e-02
2.800000000000000000e+01,-9.170297107401472658e+01,3.926034963797064847e-08,2.097683213651180267e-02,3.328926488757133484e-02
2.900000000000000000e+01,-9.170296179643838741e+01,4.579516499347846548e-08,2.205278538167476654e-02,3.497913852334022522e-02
3.000000000000000000e+01,-9.170295216205315114e+01,5.318812767995950708e-08,2.314641512930393219e-02,3.669482842087745667e-02
3.100000000000000000e+01,-9.170294252768928800e+01,6.150389708636794239e-08,2.425744011998176575e-02,3.843578323721885681e-02
3.200000000000000000e+01,-9.170293432065545858e+01,7.083521325057517970e-08,2.538558840751647949e-02,4.020146280527114868e-02
3.300000000000000000e+01,-9.170292432950476780e+01,8.127172890226574964e-08,2.653060294687747955e-02,4.199135676026344299e-02
3.400000000000000000e+01,-9.170291576567960590e+01,9.289839653092712979e-08,2.769223600625991821e-02,4.380496591329574585e-02
3.500000000000000000e+01,-9.170290506092192118e+01,1.057933971537750040e-07,2.887025475502014160e-02,4.564180970191955566e-02
3.600000000000000000e+01,-9.170289435619059759e+01,1.200865398232053849e-07,3.006443008780479431e-02,4.750142246484756470e-02
3.700000000000000000e+01,-9.170288436513183683e+01,1.358615833169096732e-07,3.127454221248626709e-02,4.938335716724395752e-02
3.800000000000000000e+01,-9.170287437409606923e+01,1.532551721084018936e-07,3.250039368867874146e-02,5.128717422485351562e-02
3.900000000000000000e+01,-9.170286545354784380e+01,1.723716422930010594e-07,3.374177217483520508e-02,5.321245640516281128e-02
4.000000000000000000e+01,-9.170285474891416300e+01,1.933364188744235435e-07,3.499849513173103333e-02,5.515879020094871521e-02
4.100000000000000000e+01,-9.170284440112668278e+01,2.162789058957059751e-07,3.627037256956100464e-02,5.712577700614929199e-02
4.200000000000000000e+01,-9.170283298290704010e+01,2.412971298326738179e-07,3.755722939968109131e-02,5.911303684115409851e-02
4.300000000000000000e+01,-9.170282370562567564e+01,2.684973594568873523e-07,3.885889053344726562e-02,6.112018600106239319e-02
4.400000000000000000e+01,-9.170281228746046054e+01,2.981301179261208745e-07,4.017519205808639526e-02,6.314685940742492676e-02
4.500000000000000000e+01,-9.170280193977413319e+01,3.303202333881927188e-07,4.150597751140594482e-02,6.519269198179244995e-02
4.600000000000000000e+01,-9.170279087848155086e+01,3.651267661552992649e-07,4.285108298063278198e-02,6.725734472274780273e-02
4.700000000000000000e+01,-9.170278053084624048e+01,4.027576210319239181e-07,4.421036317944526672e-02,6.934046745300292969e-02
4.800000000000000000e+01,-9.170276911279452747e+01,4.433597382558218669e-07,4.558367654681205750e-02,7.144174724817276001e-02
4.900000000000000000e+01,-9.170275733796012219e+01,4.870632324127655011e-07,4.697087407112121582e-02,7.356084883213043213e-02
5.000000000000000000e+01,-9.170274627678112722e+01,5.340386337593372446e-07,4.837182909250259399e-02,7.569745182991027832e-02
5.100000000000000000e+01,-9.170273557244118479e+01,5.844935344612167682e-07,4.978640004992485046e-02,7.785124331712722778e-02
5.200000000000000000e+01,-9.170272272726811025e+01,6.386343898157065269e-07,5.121446400880813599e-02,8.002193272113800049e-02
5.300000000000000000e+01,-9.170271237979517309e+01,6.966354817450337578e-07,5.265589430928230286e-02,8.220921456813812256e-02
5.400000000000000000e+01,-9.170269953469066593e+01,7.586476158394361846e-07,5.411057174205780029e-02,8.441279828548431396e-02
5.500000000000000000e+01,-9.170268847365889542e+01,8.248886729234072845e-07,5.557837337255477905e-02,8.663240075111389160e-02
5.600000000000000000e+01,-9.170267634223708342e+01,8.955776138463988900e-07,5.705919116735458374e-02,8.886774629354476929e-02
5.700000000000000000e+01,-9.170266385404416098e+01,9.709002597446669824e-07,5.855290591716766357e-02,9.111855924129486084e-02
5.800000000000000000e+01,-9.170265279310326889e+01,1.051044932864897419e-06,6.005941703915596008e-02,9.338457882404327393e-02
5.900000000000000000e+01,-9.170264101858423089e+01,1.136199671236681752e-06,6.157862022519111633e-02,9.566552191972732544e-02
6.000000000000000000e+01,-9.170262924409712468e+01,1.226609469995310064e-06,6.311040371656417847e-02,9.796115756034851074e-02
6.100000000000000000e+01,-9.170261711284076966e+01,1.322414163951179944e-06,6.465467065572738647e-02,1.002712100744247437e-01
6.200000000000000000e+01,-9.170260533841847916e+01,1.423920366505626589e-06,6.621132791042327881e-02,1.025954484939575195e-01
6.300000000000000000e+01,-9.170259249363056142e+01,1.531352722849987913e-06,6.778027862310409546e-02,1.049336120486259460e-01
6.400000000000000000e+01,-9.170258000567872614e+01,1.644961571400926914e-06,6.936141848564147949e-02,1.072854623198509216e-01
6.500000000000000000e+01,-9.170256751776281590e+01,1.764921989888534881e-06,7.095466554164886475e-02,1.096507757902145386e-01
6.600000000000000000e+01,-9.170255574347498850e+01,1.891442934720544145e-06,7.255993783473968506e-02,1.120293140411376953e-01
6.700000000000000000e+01,-9.170254182844870172e+01,2.024800096478429623e-06,7.417713850736618042e-02,1.144208461046218872e-01
6.800000000000000000e+01,-9.170252898384860885e+01,2.165278147003846243e-06,7.580618560314178467e-02,1.168251484632492065e-01
6.900000000000000000e+01,-9.170251756645822638e+01,2.313122422492597252e-06,7.744698971509933472e-02,1.192419975996017456e-01
7.000000000000000000e+01,-9.170250472192989832e+01,2.468681259415461682e-06,7.909947633743286133e-02,1.216711848974227905e-01
7.100000000000000000e+01,-9.170249223423044782e+01,2.632090627230354585e-06,8.076357096433639526e-02,1.241124793887138367e-01
7.200000000000000000e+01,-9.170247938977706781e+01,2.803683628371800296e-06,8.243917673826217651e-02,1.265656948089599609e-01
7.300000000000000000e+01,-9.170246583178412436e+01,2.983741069328971207e-06,8.412624150514602661e-02,1.290306001901626587e-01
7.400000000000000000e+01,-9.170245334419649907e+01,3.172587867084075697e-06,8.582467585802078247e-02,1.315069943666458130e-01
7.500000000000000000e+01,-9.170244049985812751e+01,3.370405465830117464e-06,8.753441274166107178e-02,1.339946985244750977e-01
7.600000000000000000e+01,-9.170242836912898099e+01,3.577565848900121637e-06,8.925537019968032837e-02,1.364934891462326050e-01
7.700000000000000000e+01,-9.170241516807988091e+01,3.794323674810584635e-06,9.098749607801437378e-02,1.390031874179840088e-01
7.800000000000000000e+01,-9.170240089672057593e+01,4.020968844997696579e-06,9.273070842027664185e-02,1.415235847234725952e-01
7.900000000000000000e+01,-9.170238805253731584e+01,4.257904947735369205e-06,9.448494017124176025e-02,1.440544873476028442e-01
8.000000000000000000e+01,-9.170237485161075597e+01,4.505354354478185996e-06,9.625012427568435669e-02,1.465957313776016235e-01
8.100000000000000000e+01,-9.170236129394417901e+01,4.763688139064470306e-06,9.802620112895965576e-02,1.491471081972122192e-01
8.200000000000000000e+01,-9.170234880665714172e+01,5.033113666286226362e-06,9.981310367584228516e-02,1.517084389925003052e-01
8.300000000000000000e+01,-9.170233560584988197e+01,5.314033842296339571e-06,1.016107723116874695e-01,1.542795747518539429e-01
8.400000000000000000e+01,-9.170232133475202829e+01,5.606641479971585795e-06,1.034191399812698364e-01,1.568602919578552246e-01
8.500000000000000000e+01,-9.170230777725251414e+01,5.911323569307569414e-06,1.052381545305252075e-01,1.594504415988922119e-01
8.600000000000000000e+01,-9.170229493334463200e+01,6.228478014236316085e-06,1.070677489042282104e-01,1.620498448610305786e-01
8.700000000000000000e+01,-9.170228066238044562e+01,6.558404948009410873e-06,1.089078709483146667e-01,1.646583229303359985e-01
8.800000000000000000e+01,-9.170226639146314085e+01,6.901536835357546806e-06,1.107584610581398010e-01,1.672757267951965332e-01
8.900000000000000000e+01,-9.170225283413513750e+01,7.258142886712448671e-06,1.126194596290588379e-01,1.699018627405166626e-01
9.000000000000000000e+01,-9.170223927684945409e+01,7.628512321389280260e-06,1.144908145070075989e-01,1.725365966558456421e-01
9.100000000000000000e+01,-9.170222536283711179e+01,8.013063052203506231e-06,1.163724660873413086e-01,1.751797497272491455e-01
9.200000000000000000e+01,-9.170221251917297423e+01,8.412163879256695509e-06,1.182643622159957886e-01,1.778311580419540405e-01
9.300000000000000000e+01,-9.170219896201315635e+01,8.826272278383839875e-06,1.201664432883262634e-01,1.804906576871871948e-01
9.400000000000000000e+01,-9.170218397783308717e+01,9.255640179617330432e-06,1.220786869525909424e-01,1.831581145524978638e-01
9.500000000000000000e+01,-9.170217113429133349e+01,9.700670489110052586e-06,1.240010112524032593e-01,1.858333498239517212e-01
9.600000000000000000e+01,-9.170215722049731255e+01,1.016181795421289280e-05,1.259333789348602295e-01,1.885162293910980225e-01
9.700000000000000000e+01,-9.170214294998564242e+01,1.063940635503968224e-05,1.278757452964782715e-01,1.912065893411636353e-01
9.800000000000000000e+01,-9.170212903628188883e+01,1.113382495532277972e-05,1.298280358314514160e-01,1.939042806625366211e-01
9.900000000000000000e+01,-9.170211512262272890e+01,1.164543027698528022e-05,1.317902356386184692e-01,1.966091692447662354e-01
1.000000000000000000e+02,-9.170210156576693805e+01,1.217465523950522766e-05,1.337623000144958496e-01,1.993210911750793457e-01
1.010000000000000000e+02,-9.170208765219578595e+01,1.272189820156199858e-05,1.357441395521163940e-01,2.020399123430252075e-01
1.020000000000000000e+02,-9.170207302515622416e+01,1.328749203821644187e-05,1.377357542514801025e-01,2.047654837369918823e-01
1.030000000000000000e+02,-9.170205911167650470e+01,1.387195788993267342e-05,1.397370845079421997e-01,2.074976861476898193e-01
1.040000000000000000e+02,-9.170204555499553578e+01,1.447564136469736695e-05,1.417480707168579102e-01,2.102363407611846924e-01
1.050000000000000000e+02,-9.170202985783888039e+01,1.509897901996737346e-05,1.437686681747436523e-01,2.129813432693481445e-01
1.060000000000000000e+02,-9.170201630124924463e+01,1.574236739543266594e-05,1.457988470792770386e-01,2.157325595617294312e-01
1.070000000000000000e+02,-9.170200238795125358e+01,1.640620030229911208e-05,1.478385627269744873e-01,2.184898108243942261e-01
1.080000000000000000e+02,-9.170198847469784198e+01,1.709086791379377246e-05,1.498877853155136108e-01,2.212530076503753662e-01
1.090000000000000000e+02,-9.170197384799229212e+01,1.779686499503441155e-05,1.519464403390884399e-01,2.240220010280609131e-01
1.100000000000000000e+02,-9.170195957808316223e+01,1.852461355156265199e-05,1.540145277976989746e-01,2.267966568470001221e-01
1.110000000000000000e+02,-9.170194602171289944e+01,1.927452649397309870e-05,1.560919731855392456e-01,2.295768707990646362e-01
1.120000000000000000e+02,-9.170193139515033920e+01,2.004698217206168920e-05,1.581787616014480591e-01,2.323624938726425171e-01
1.130000000000000000e+02,-9.170191676863703378e+01,2.084253355860710144e-05,1.602748185396194458e-01,2.351533919572830200e-01
1.140000000000000000e+02,-9.170190249891544454e+01,2.166161539207678288e-05,1.623801290988922119e-01,2.379494458436965942e-01
1.150000000000000000e+02,-9.170188822924072269e+01,2.250464785902295262e-05,1.644946634769439697e-01,2.407505512237548828e-01
1.160000000000000000e+02,-9.170187395961289667e+01,2.337220939807593822e-05,1.666183769702911377e-01,2.435565590858459473e-01
1.170000000000000000e+02,-9.170185969003196647e+01,2.426467472105287015e-05,1.687512248754501343e-01,2.463673651218414307e-01
1.180000000000000000e+02,-9.170184506376014610e+01,2.518253131711389869e-05,1.708931624889373779e-01,2.491828501224517822e-01
1.190000000000000000e+02,-9.170183079427415862e+01,2.612625394249334931e-05,1.730441600084304810e-01,2.520028948783874512e-01
1.200000000000000000e+02,-9.170181652483503854e+01,2.709633190534077585e-05,1.752042025327682495e-01,2.548273801803588867e-01
1.210000000000000000e+02,-9.170180082850615122e+01,2.809316538332495838e-05,1.773732304573059082e-01,2.576561868190765381e-01
1.220000000000000000e+02,-9.170178691589845243e+01,2.911721458076499403e-05,1.795511990785598755e-01,2.604891955852508545e-01
1.230000000000000000e+02,-9.170177228987172668e+01,3.016905429831240326e-05,1.817381083965301514e-01,2.633263170719146729e-01
1.240000000000000000e+02,-9.170175802062485104e+01,3.124907016172073781e-05,1.839338839054107666e-01,2.661674022674560547e-01
1.250000000000000000e+02,-9.170174303796606807e+01,3.235774420318193734e-05,1.861385256052017212e-01,2.690123617649078369e-01
1.260000000000000000e+02,-9.170173019572825979e+01,3.349564212840050459e-05,1.883519887924194336e-01,2.718611061573028564e-01
1.270000000000000000e+02,-9.170171556989254213e+01,3.466328053036704659e-05,1.905742287635803223e-01,2.747134864330291748e-01
1.280000000000000000e+02,-9.170169987392854694e+01,3.586115053622052073e-05,1.928052306175231934e-01,2.775694131851196289e-01
1.290000000000000000e+02,-9.170168524819496270e+01,3.708962321979925036e-05,1.950449347496032715e-01,2.804287672042846680e-01
1.300000000000000000e+02,-9.170166990906386673e+01,3.834932795143686235e-05,1.972933411598205566e-01,2.832914590835571289e-01
1.310000000000000000e+02,-9.170165564015336201e+01,3.964072311646305025e-05,1.995503902435302734e-01,2.861573398113250732e-01
1.320000000000000000e+02,-9.170164172801074187e+01,4.096435441169887781e-05,2.018160670995712280e-01,2.890264093875885010e-01
1.330000000000000000e+02,-9.170162638903336472e+01,4.232058563502505422e-05,2.040903419256210327e-01,2.918984591960906982e-01
1.340000000000000000e+02,-9.170161212026584963e+01,4.371002069092355669e-05,2.063731700181961060e-01,2.947734594345092773e-01
1.350000000000000000e+02,-9.170159785154521614e+01,4.513320527621544898e-05,2.086645215749740601e-01,2.976512610912322998e-01
1.360000000000000000e+02,-9.170158286943899384e+01,4.659058686229400337e-05,2.109643816947937012e-01,3.005317747592926025e-01
1.370000000000000000e+02,-9.170156860081445416e+01,4.808268568012863398e-05,2.132727056741714478e-01,3.034149110317230225e-01
1.380000000000000000e+02,-9.170155290538158965e+01,4.961002196068875492e-05,2.155894637107849121e-01,3.063005805015563965e-01
1.390000000000000000e+02,-9.170153935028068304e+01,5.117329055792652071e-05,2.179146409034729004e-01,3.091886937618255615e-01
1.400000000000000000e+02,-9.170152365495354729e+01,5.277281525195576251e-05,2.202481925487518311e-01,3.120791316032409668e-01
