d,p_los,p_ref_perp,p_tot_perp,p_ref_par,p_tot_par
1.000000000000000000e+00,-5.870008434637696837e+01,-6.607353814691589378e+01,-6.174613120441691194e+01,-6.610876471087344441e+01,-5.599075470901589568e+01
1.005775959301633549e+00,-5.870077117579191395e+01,-6.607371321297149791e+01,-6.170760708634155378e+01,-6.610934644953634631e+01,-5.600188832972813202e+01
1.011585280309121204e+00,-5.870146585181995391e+01,-6.607389030004640063e+01,-6.166853315060264862e+01,-6.610993488733780055e+01,-5.601330008783554604e+01
1.017428155718318239e+00,-5.870216846282733059e+01,-6.607406943138781230e+01,-6.162891017881464961e+01,-6.611053010095309901e+01,-5.602499681489331351e+01
1.023304779338083392e+00,-5.870287909814613414e+01,-6.607425063050840208e+01,-6.158873922917554466e+01,-6.611113216792429625e+01,-5.603698551307977738e+01
1.029215346096707284e+00,-5.870359784808413650e+01,-6.607443392118928216e+01,-6.154802163999697484e+01,-6.611174116666964551e+01,-5.604927335967026636e+01
1.035160052048378576e+00,-5.870432480393481711e+01,-6.607461932748300626e+01,-6.150675903299578096e+01,-6.611235717649341836e+01,-5.606186771163770999e+01
1.041139094379686769e+00,-5.870506005798738869e+01,-6.607480687371663919e+01,-6.146495331635239268e+01,-6.611298027759551132e+01,-5.607477611038074627e+01
1.047152671416163416e+00,-5.870580370353694377e+01,-6.607499658449478375e+01,-6.142260668751656993e+01,-6.611361055108135076e+01,-5.608800628658802623e+01
1.053200982628859972e+00,-5.870655583489467233e+01,-6.607518848470280659e+01,-6.137972163577155982e+01,-6.611424807897181211e+01,-5.610156616523873652e+01
1.059284228640964720e+00,-5.870731654739817884e+01,-6.607538259950990778e+01,-6.133630094455281068e+01,-6.611489294421332374e+01,-5.611546387074387354e+01
1.065402611234457231e+00,-5.870808593742190595e+01,-6.607557895437227558e+01,-6.129234769351414513e+01,-6.611554523068798517e+01,-5.612970773223433696e+01
